"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3101","this is list report3","chromium","2026-01-20","failed","2026-01-20","","Reporter.spec.js","",""
"","20381","this is contact test","chromium","2026-01-21","passed","2026-01-21","","ContactsTest.spec.js","",""
"","5462","this is list report1","chromium","2026-01-20","passed","2026-01-20","","Reporter.spec.js","",""
"","4505","this is list report2","chromium","2026-01-20","passed","2026-01-20","","Reporter.spec.js","",""
